,0,1
0,cx,cy
339,1111.5,627.0
340,1124.5,627.0
341,1135.5,627.0
342,1148.5,627.0
343,1159.5,627.0
344,1170.5,627.0
345,1181.5,627.0
346,1192.5,627.0
347,1197.5,627.0
348,1200.5,627.0
349,1201.5,627.0
350,1204.5,627.0
351,1205.5,627.0
352,1206.5,627.0
353,1205.5,627.0
354,1206.5,627.0
355,1203.5,627.0
356,1204.5,627.0
357,1205.5,627.0
358,1204.5,627.0
359,1205.5,627.0
360,1206.5,627.0
361,1205.5,627.0
362,1206.5,627.0
363,1205.5,627.0
364,1206.5,627.0
365,1205.5,627.0
366,1206.5,627.0
367,1205.5,627.0
368,1206.5,627.0
369,1205.5,627.0
370,1206.5,627.0
371,1205.5,627.0
372,1206.5,627.0
373,1205.5,627.0
374,1206.5,627.0
375,1205.5,627.0
376,1206.5,627.0
377,1205.5,627.0
378,1206.5,627.0
379,1205.5,627.0
380,1206.5,627.0
381,1205.5,627.0
382,1206.5,627.0
383,1205.5,627.0
384,1206.5,627.0
385,1205.5,627.0
386,1206.5,627.0
387,1205.5,627.0
388,1206.5,627.0
389,1205.5,627.0
390,1206.5,627.0
391,1205.5,627.0
392,1206.5,627.0
393,1205.5,627.0
394,1206.5,627.0
395,1205.5,627.0
396,1206.5,627.0
397,1205.5,627.0
398,1206.5,627.0
399,1205.5,627.0
400,1206.5,627.0
401,1205.5,627.0
402,1206.5,627.0
403,1205.5,627.0
404,1206.5,627.0
405,1205.5,627.0
406,1206.5,627.0
407,1205.5,627.0
408,1206.5,627.0
409,1205.5,627.0
410,1208.5,627.0
411,1213.5,627.0
412,1224.5,627.0
413,1237.5,627.0
414,1248.5,627.0
415,1259.5,627.0
416,1272.5,627.0
417,1283.5,627.0
418,1294.5,627.0
419,1305.5,627.0
420,1314.5,627.0
421,1317.5,627.0
422,1322.5,627.0
423,1323.5,627.0
424,1322.5,627.0
425,1321.5,627.0
426,1322.5,627.0
427,1321.5,627.0
428,1322.5,627.0
429,1323.5,627.0
430,1324.5,627.0
431,1323.5,627.0
432,1324.5,627.0
433,1323.5,627.0
434,1324.5,627.0
435,1323.5,627.0
436,1324.5,627.0
437,1323.5,627.0
438,1324.5,627.0
439,1323.5,627.0
440,1324.5,627.0
441,1323.5,627.0
442,1324.5,627.0
443,1323.5,627.0
444,1324.5,627.0
445,1323.5,627.0
446,1324.5,627.0
447,1323.5,627.0
448,1324.5,627.0
449,1323.5,627.0
450,1324.5,627.0
451,1323.5,627.0
452,1324.5,627.0
453,1323.5,627.0
454,1324.5,627.0
455,1323.5,627.0
456,1324.5,627.0
457,1323.5,627.0
458,1324.5,627.0
459,1323.5,627.0
460,1324.5,627.0
461,1323.5,627.0
462,1324.5,627.0
463,1323.5,627.0
464,1324.5,627.0
465,1323.5,627.0
466,1324.5,627.0
467,1323.5,627.0
468,1324.5,627.0
469,1323.5,627.0
470,1324.5,627.0
471,1323.5,627.0
472,1324.5,627.0
473,1323.5,627.0
474,1324.5,627.0
475,1323.5,627.0
476,1324.5,627.0
477,1323.5,627.0
478,1324.5,627.0
479,1323.5,627.0
480,1324.5,627.0
481,1323.5,627.0
482,1324.5,627.0
483,1321.5,627.0
484,1326.5,627.0
485,1337.5,627.0
486,1348.5,627.0
487,1359.5,627.0
488,1370.5,627.0
489,1381.5,627.0
490,1394.5,627.0
491,1405.5,627.0
492,1418.5,627.0
493,1427.5,627.0
494,1434.5,627.0
495,1437.5,627.0
